"","price","abtest","vehicleType","yearOfRegistration","gearbox","powerPS","kilometer","fuelType","notRepairedDamage"
"89",3150,"test","bus",2004,"manuell",150,150000,"diesel","nein"
"90",9150,"control","limousine",2007,"manuell",177,150000,"diesel","nein"
"91",7100,"control","limousine",2004,"automatik",200,150000,"benzin","nein"
"92",7500,"test","limousine",2007,"automatik",300,150000,"benzin","nein"
"93",6600,"test","bus",2004,"manuell",116,150000,"diesel","nein"
"94",6990,"test","kleinwagen",2008,"manuell",109,125000,"diesel","nein"
"95",18500,"test","kombi",2014,"manuell",105,30000,"benzin","nein"
"96",1799,"test","kleinwagen",2001,"automatik",61,70000,"benzin","nein"
"97",3490,"test","kleinwagen",2004,"automatik",140,150000,"diesel","nein"
"98",6600,"control","limousine",2004,"automatik",211,150000,"diesel","nein"
"99",35980,"control","suv",2015,"automatik",204,30000,"diesel","nein"
"100",4890,"test","bus",2007,"manuell",136,150000,"diesel","nein"
"101",5400,"test","limousine",2004,"automatik",131,150000,"benzin","nein"
"102",12100,"test","limousine",2010,"automatik",170,30000,"diesel","nein"
"103",8990,"control","cabrio",2011,"manuell",120,50000,"benzin","nein"
"104",6600,"control","kombi",2006,"manuell",150,125000,"benzin","nein"
"105",1550,"control","kleinwagen",2001,"automatik",54,20000,"benzin","nein"
"106",3890,"control","kleinwagen",2009,"manuell",65,90000,"benzin","nein"
"107",7999,"control","kombi",2008,"manuell",177,150000,"diesel","ja"
"108",1750,"control","coupe",2000,"manuell",193,150000,"benzin","nein"
"109",9500,"test","kombi",2007,"automatik",197,150000,"diesel","nein"
"110",9850,"control","coupe",2012,"manuell",110,40000,"benzin","nein"
"111",3800,"test","cabrio",2006,"manuell",109,125000,"benzin","nein"
"112",1599,"test","kombi",2003,"manuell",131,150000,"diesel","nein"
"113",3700,"control","limousine",2004,"manuell",90,150000,"benzin","nein"
"114",3450,"control","kleinwagen",2005,"manuell",54,70000,"benzin","nein"
"115",3300,"test","kombi",2005,"manuell",136,150000,"diesel","nein"
"116",6800,"control","bus",2006,"manuell",105,150000,"diesel","nein"
"117",6800,"control","kleinwagen",2006,"manuell",200,150000,"benzin","nein"
"118",17449,"control","coupe",2006,"automatik",252,90000,"benzin","nein"
"119",2200,"test","limousine",2000,"manuell",75,150000,"benzin","nein"
